Rank, Fake, Fake Weight, Real, Real Weight
1, FBI, -8.331, Mrs., 4.564
2, Roman, -7.579, Brown, 3.657
3, Palestine, -7.554, governor, 3.536
4, la, -7.476, legislation, 3.369
5, breast, -7.421, Medicare, 3.307
6, Soros, -7.266, Ms, 3.24
7, que, -7.233, minimum, 3.092
8, squash, -7.233, '', 3.066
9, propaganda, -7.161, spokesman, 3.051
10, Rome, -7.084, Harvard, 3.008
11, Lonny, -7.001, Louis, 3.008
12, crimes, -6.91, marriage, 2.964
13, magnetic, -6.91, Mr., 2.914
14, Foster, -6.91, Ms., 2.86
15, pumpkin, -6.861, labor, 2.817
16, Share, -6.861, Planned, 2.817
17, hexagon, -6.81, minister, 2.817
18, |, -6.698, Rubio, 2.791
19, Jesuit, -6.698, nomination, 2.763
20, tapatio, -6.698, department, 2.763
21, Weiner, -6.698, gay, 2.763
22, clone, -6.698, Graham, 2.763
23, Jesuits, -6.638, stadium, 2.706
24, pseudo-parents, -6.638, Kasich, 2.706
25, custard, -6.638, music, 2.706