Training Size,Average Accuracy,Fake Accuracy,Real Accuracy,,Training Size,Avg Total,Avg Fake Accuracy,Avg Real Accuracy
50,0.66,0.34,0.97,,50,,0.3522,0.96
50,0.63,0.3,0.96,,250,,0.8436,0.851
50,0.66,0.34,0.97,,450,,0.8922,0.8338
50,0.67,0.39,0.95,,650,,0.903076923,0.866153846
50,0.65,0.32,0.98,,850,,0.9034,0.8646
50,0.65,0.34,0.96,,1050,,0.9094,0.8542
50,0.67,0.38,0.97,,1250,,0.9104,0.8562
50,0.67,0.36,0.96,,,,,
50,0.65,0.34,0.95,,,,,
50,0.67,0.37,0.96,,,,,
50,0.68,0.41,0.94,,,,,
50,0.68,0.4,0.95,,,,,
50,0.69,0.41,0.96,,,,,
50,0.63,0.31,0.95,,,,,
50,0.63,0.3,0.95,,,,,
50,0.64,0.32,0.96,,,,,
50,0.68,0.4,0.95,,,,,
50,0.66,0.35,0.96,,,,,
50,0.66,0.35,0.96,,,,,
50,0.67,0.39,0.94,,,,,
50,0.65,0.33,0.97,,,,,
50,0.65,0.34,0.96,,,,,
50,0.63,0.29,0.97,,,,,
50,0.63,0.3,0.95,,,,,
50,0.64,0.34,0.94,,,,,
50,0.65,0.32,0.97,,,,,
50,0.63,0.33,0.93,,,,,
50,0.66,0.36,0.96,,,,,
50,0.65,0.32,0.98,,,,,
50,0.67,0.36,0.98,,,,,
50,0.66,0.36,0.96,,,,,
50,0.67,0.34,0.98,,,,,
50,0.65,0.32,0.97,,,,,
50,0.68,0.4,0.97,,,,,
50,0.63,0.3,0.95,,,,,
50,0.71,0.45,0.97,,,,,
50,0.66,0.32,1,,,,,
50,0.69,0.4,0.97,,,,,
50,0.65,0.35,0.94,,,,,
50,0.66,0.36,0.95,,,,,
50,0.65,0.34,0.95,,,,,
50,0.68,0.4,0.96,,,,,
50,0.65,0.34,0.96,,,,,
50,0.68,0.39,0.96,,,,,
50,0.64,0.3,0.97,,,,,
50,0.65,0.33,0.97,,,,,
50,0.65,0.36,0.94,,,,,
50,0.64,0.33,0.95,,,,,
50,0.7,0.45,0.96,,,,,
50,0.66,0.36,0.96,,,,,
250,0.83,0.85,0.82,,,,,
250,0.85,0.83,0.88,,,,,
250,0.84,0.85,0.84,,,,,
250,0.87,0.85,0.9,,,,,
250,0.85,0.83,0.86,,,,,
250,0.83,0.81,0.85,,,,,
250,0.83,0.84,0.82,,,,,
250,0.86,0.84,0.88,,,,,
250,0.85,0.82,0.89,,,,,
250,0.86,0.86,0.86,,,,,
250,0.84,0.86,0.82,,,,,
250,0.82,0.82,0.82,,,,,
250,0.86,0.86,0.86,,,,,
250,0.84,0.87,0.82,,,,,
250,0.85,0.84,0.86,,,,,
250,0.84,0.84,0.84,,,,,
250,0.83,0.82,0.83,,,,,
250,0.83,0.83,0.83,,,,,
250,0.86,0.82,0.9,,,,,
250,0.86,0.86,0.85,,,,,
250,0.83,0.83,0.83,,,,,
250,0.82,0.81,0.83,,,,,
250,0.84,0.84,0.85,,,,,
250,0.84,0.84,0.84,,,,,
250,0.82,0.85,0.8,,,,,
250,0.88,0.92,0.84,,,,,
250,0.88,0.87,0.88,,,,,
250,0.85,0.83,0.86,,,,,
250,0.85,0.88,0.83,,,,,
250,0.83,0.8,0.85,,,,,
250,0.88,0.89,0.86,,,,,
250,0.87,0.88,0.86,,,,,
250,0.84,0.83,0.85,,,,,
250,0.84,0.85,0.83,,,,,
250,0.87,0.86,0.88,,,,,
250,0.83,0.82,0.84,,,,,
250,0.84,0.84,0.84,,,,,
250,0.82,0.81,0.84,,,,,
250,0.84,0.83,0.85,,,,,
250,0.86,0.84,0.87,,,,,
250,0.88,0.92,0.84,,,,,
250,0.85,0.83,0.88,,,,,
250,0.84,0.84,0.83,,,,,
250,0.83,0.81,0.84,,,,,
250,0.85,0.84,0.85,,,,,
250,0.86,0.83,0.89,,,,,
250,0.85,0.84,0.86,,,,,
250,0.87,0.86,0.88,,,,,
250,0.85,0.83,0.87,,,,,
250,0.85,0.86,0.85,,,,,
450,0.88,0.9,0.85,,,,,
450,0.86,0.91,0.82,,,,,
450,0.86,0.9,0.83,,,,,
450,0.85,0.86,0.83,,,,,
450,0.88,0.88,0.87,,,,,
450,0.84,0.89,0.79,,,,,
450,0.86,0.88,0.84,,,,,
450,0.9,0.93,0.87,,,,,
450,0.86,0.91,0.81,,,,,
450,0.87,0.89,0.85,,,,,
450,0.86,0.88,0.83,,,,,
450,0.85,0.84,0.85,,,,,
450,0.85,0.88,0.82,,,,,
450,0.86,0.89,0.83,,,,,
450,0.85,0.9,0.81,,,,,
450,0.85,0.9,0.81,,,,,
450,0.86,0.88,0.84,,,,,
450,0.87,0.92,0.82,,,,,
450,0.86,0.9,0.82,,,,,
450,0.87,0.91,0.83,,,,,
450,0.84,0.85,0.83,,,,,
450,0.85,0.9,0.81,,,,,
450,0.86,0.9,0.83,,,,,
450,0.87,0.9,0.83,,,,,
450,0.86,0.88,0.85,,,,,
450,0.88,0.94,0.83,,,,,
450,0.87,0.89,0.85,,,,,
450,0.85,0.89,0.81,,,,,
450,0.86,0.88,0.85,,,,,
450,0.86,0.88,0.84,,,,,
450,0.85,0.91,0.81,,,,,
450,0.87,0.86,0.88,,,,,
450,0.87,0.9,0.83,,,,,
450,0.86,0.89,0.83,,,,,
450,0.86,0.9,0.82,,,,,
450,0.89,0.89,0.89,,,,,
450,0.87,0.87,0.86,,,,,
450,0.87,0.92,0.82,,,,,
450,0.85,0.87,0.82,,,,,
450,0.87,0.9,0.84,,,,,
450,0.84,0.88,0.81,,,,,
450,0.89,0.92,0.86,,,,,
450,0.85,0.88,0.83,,,,,
450,0.85,0.91,0.8,,,,,
450,0.86,0.89,0.84,,,,,
450,0.88,0.89,0.86,,,,,
450,0.85,0.88,0.83,,,,,
450,0.87,0.9,0.83,,,,,
450,0.87,0.89,0.86,,,,,
450,0.86,0.9,0.82,,,,,
650,0.91,0.88,0.94,,,,,
650,0.9,0.9,0.9,,,,,
650,0.87,0.85,0.88,,,,,
650,0.86,0.86,0.85,,,,,
650,0.91,0.88,0.94,,,,,
650,0.87,0.85,0.89,,,,,
650,0.88,0.84,0.92,,,,,
650,0.85,0.81,0.9,,,,,
650,0.88,0.85,0.92,,,,,
650,0.88,0.86,0.89,,,,,
650,0.85,0.81,0.9,,,,,
650,0.91,0.89,0.93,,,,,
650,0.85,0.84,0.86,,,,,
650,0.89,0.85,0.93,,,,,
650,0.86,0.82,0.91,,,,,
650,0.89,0.89,0.9,,,,,
650,0.87,0.89,0.86,,,,,
650,0.86,0.84,0.88,,,,,
650,0.85,0.82,0.88,,,,,
650,0.88,0.84,0.92,,,,,
650,0.87,0.88,0.87,,,,,
650,0.9,0.87,0.92,,,,,
650,0.88,0.85,0.9,,,,,
650,0.92,0.91,0.93,,,,,
650,0.88,0.87,0.89,,,,,
650,0.85,0.85,0.84,,,,,
650,0.85,0.83,0.87,,,,,
650,0.88,0.84,0.91,,,,,
650,0.87,0.85,0.88,,,,,
650,0.88,0.84,0.91,,,,,
650,0.88,0.86,0.89,,,,,
650,0.87,0.85,0.89,,,,,
650,0.89,0.9,0.89,,,,,
650,0.88,0.86,0.9,,,,,
650,0.88,0.84,0.91,,,,,
650,0.88,0.83,0.92,,,,,
650,0.87,0.86,0.88,,,,,
650,0.88,0.87,0.89,,,,,
650,0.9,0.89,0.91,,,,,
650,0.86,0.83,0.9,,,,,
650,0.86,0.87,0.85,,,,,
650,0.88,0.82,0.94,,,,,
650,0.88,0.85,0.91,,,,,
650,0.86,0.83,0.9,,,,,
650,0.88,0.83,0.93,,,,,
650,0.88,0.87,0.9,,,,,
650,0.84,0.8,0.89,,,,,
650,0.88,0.84,0.92,,,,,
650,0.84,0.81,0.87,,,,,
650,0.89,0.85,0.92,,,,,
850,0.9,0.92,0.88,,,,,
850,0.88,0.93,0.84,,,,,
850,0.87,0.9,0.84,,,,,
850,0.91,0.92,0.91,,,,,
850,0.91,0.93,0.9,,,,,
850,0.87,0.91,0.83,,,,,
850,0.87,0.88,0.86,,,,,
850,0.91,0.92,0.91,,,,,
850,0.9,0.92,0.89,,,,,
850,0.89,0.88,0.89,,,,,
850,0.92,0.92,0.91,,,,,
850,0.89,0.91,0.86,,,,,
850,0.86,0.9,0.83,,,,,
850,0.85,0.89,0.81,,,,,
850,0.88,0.88,0.88,,,,,
850,0.88,0.89,0.86,,,,,
850,0.89,0.89,0.88,,,,,
850,0.86,0.89,0.83,,,,,
850,0.85,0.87,0.83,,,,,
850,0.87,0.89,0.85,,,,,
850,0.89,0.93,0.85,,,,,
850,0.89,0.92,0.86,,,,,
850,0.91,0.94,0.88,,,,,
850,0.88,0.91,0.85,,,,,
850,0.91,0.94,0.89,,,,,
850,0.89,0.9,0.89,,,,,
850,0.89,0.9,0.87,,,,,
850,0.87,0.88,0.85,,,,,
850,0.87,0.89,0.85,,,,,
850,0.87,0.92,0.82,,,,,
850,0.9,0.87,0.92,,,,,
850,0.87,0.88,0.86,,,,,
850,0.88,0.9,0.85,,,,,
850,0.91,0.92,0.9,,,,,
850,0.89,0.88,0.89,,,,,
850,0.87,0.88,0.86,,,,,
850,0.92,0.93,0.91,,,,,
850,0.88,0.89,0.88,,,,,
850,0.87,0.89,0.84,,,,,
850,0.86,0.87,0.85,,,,,
850,0.89,0.93,0.84,,,,,
850,0.89,0.92,0.85,,,,,
850,0.88,0.89,0.88,,,,,
850,0.9,0.9,0.89,,,,,
850,0.89,0.91,0.86,,,,,
850,0.88,0.9,0.86,,,,,
850,0.92,0.94,0.9,,,,,
850,0.87,0.88,0.86,,,,,
850,0.88,0.93,0.83,,,,,
850,0.84,0.89,0.8,,,,,
1050,0.91,0.94,0.89,,,,,
1050,0.89,0.93,0.84,,,,,
1050,0.86,0.9,0.82,,,,,
1050,0.84,0.87,0.82,,,,,
1050,0.87,0.9,0.84,,,,,
1050,0.91,0.92,0.89,,,,,
1050,0.86,0.89,0.83,,,,,
1050,0.86,0.9,0.83,,,,,
1050,0.89,0.92,0.85,,,,,
1050,0.89,0.91,0.86,,,,,
1050,0.9,0.91,0.89,,,,,
1050,0.91,0.94,0.88,,,,,
1050,0.89,0.93,0.85,,,,,
1050,0.88,0.93,0.83,,,,,
1050,0.89,0.92,0.86,,,,,
1050,0.88,0.91,0.85,,,,,
1050,0.88,0.92,0.84,,,,,
1050,0.9,0.92,0.88,,,,,
1050,0.89,0.88,0.89,,,,,
1050,0.89,0.92,0.86,,,,,
1050,0.91,0.92,0.9,,,,,
1050,0.91,0.94,0.88,,,,,
1050,0.89,0.92,0.86,,,,,
1050,0.89,0.9,0.88,,,,,
1050,0.86,0.89,0.84,,,,,
1050,0.89,0.9,0.88,,,,,
1050,0.89,0.92,0.86,,,,,
1050,0.9,0.93,0.87,,,,,
1050,0.9,0.93,0.88,,,,,
1050,0.85,0.88,0.82,,,,,
1050,0.88,0.91,0.85,,,,,
1050,0.88,0.93,0.83,,,,,
1050,0.85,0.85,0.84,,,,,
1050,0.9,0.9,0.91,,,,,
1050,0.86,0.9,0.82,,,,,
1050,0.89,0.92,0.85,,,,,
1050,0.89,0.91,0.86,,,,,
1050,0.86,0.92,0.81,,,,,
1050,0.87,0.89,0.85,,,,,
1050,0.86,0.92,0.81,,,,,
1050,0.88,0.91,0.84,,,,,
1050,0.86,0.9,0.83,,,,,
1050,0.87,0.9,0.84,,,,,
1050,0.89,0.93,0.85,,,,,
1050,0.9,0.92,0.88,,,,,
1050,0.86,0.9,0.82,,,,,
1050,0.83,0.86,0.81,,,,,
1050,0.89,0.9,0.88,,,,,
1050,0.88,0.89,0.87,,,,,
1050,0.9,0.92,0.89,,,,,
1250,0.88,0.91,0.85,,,,,
1250,0.87,0.91,0.83,,,,,
1250,0.87,0.92,0.82,,,,,
1250,0.9,0.93,0.86,,,,,
1250,0.85,0.89,0.82,,,,,
1250,0.87,0.85,0.88,,,,,
1250,0.89,0.94,0.83,,,,,
1250,0.93,0.94,0.91,,,,,
1250,0.89,0.92,0.86,,,,,
1250,0.88,0.9,0.87,,,,,
1250,0.86,0.89,0.83,,,,,
1250,0.87,0.9,0.85,,,,,
1250,0.88,0.89,0.86,,,,,
1250,0.88,0.93,0.83,,,,,
1250,0.86,0.88,0.85,,,,,
1250,0.89,0.94,0.82,,,,,
1250,0.89,0.88,0.91,,,,,
1250,0.88,0.9,0.85,,,,,
1250,0.89,0.91,0.87,,,,,
1250,0.88,0.93,0.84,,,,,
1250,0.89,0.93,0.84,,,,,
1250,0.89,0.93,0.85,,,,,
1250,0.88,0.92,0.84,,,,,
1250,0.89,0.9,0.87,,,,,
1250,0.89,0.94,0.84,,,,,
1250,0.86,0.87,0.85,,,,,
1250,0.89,0.92,0.86,,,,,
1250,0.9,0.94,0.86,,,,,
1250,0.91,0.93,0.9,,,,,
1250,0.89,0.92,0.85,,,,,
1250,0.88,0.89,0.86,,,,,
1250,0.91,0.94,0.87,,,,,
1250,0.87,0.89,0.85,,,,,
1250,0.87,0.93,0.82,,,,,
1250,0.9,0.91,0.88,,,,,
1250,0.9,0.89,0.91,,,,,
1250,0.89,0.94,0.84,,,,,
1250,0.85,0.87,0.83,,,,,
1250,0.89,0.89,0.88,,,,,
1250,0.88,0.92,0.84,,,,,
1250,0.89,0.9,0.88,,,,,
1250,0.91,0.93,0.9,,,,,
1250,0.84,0.87,0.82,,,,,
1250,0.89,0.89,0.89,,,,,
1250,0.88,0.9,0.86,,,,,
1250,0.89,0.9,0.87,,,,,
1250,0.9,0.94,0.86,,,,,
1250,0.89,0.92,0.85,,,,,
1250,0.89,0.93,0.84,,,,,
1250,0.88,0.91,0.86,,,,,
